,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
2238.0,2.0,4.0,,,9.0,,0.0,,,9.0,
2242.0,6.0,357.0,,,11.0,,0.0,,,16.0,29.0
2245.0,2.0,4.0,,,3.0,3.0,0.0,2.0,,3.0,6.0
2252.0,,,,,1.0,,0.0,,,2.0,2.0
2257.0,1.0,2.0,,,1.0,1.0,0.0,,,3.0,
2260.0,1.0,,,,2.0,,0.0,,,2.0,4.0
2265.0,2.0,12.0,,,4.0,,0.0,,,6.0,6.0
2270.0,,57.0,,,,,0.0,,,,2.0
2272.0,3.0,1.0,,,3.0,,0.0,,,4.0,4.0
2277.0,1.0,1.0,,,3.0,,0.0,,,3.0,5.0
2283.0,,,,,1.0,,0.0,,,2.0,7.0
2286.0,,,,,1.0,,0.0,,,2.0,2.0
2304.0,,1.0,,,1.0,,0.0,,,3.0,
2313.0,6.0,,,,9.0,,0.0,,,8.0,13.0
2324.0,2.0,285.0,,,5.0,,0.0,,,5.0,3.0
2349.0,,,,,1.0,,0.0,,,1.0,
2362.0,2.0,,,,5.0,,0.0,,,6.0,7.0
2365.0,1.0,3.0,,,1.0,,0.0,,,1.0,2.0
2370.0,,,,,,,,,,,
2372.0,,,,,,,,,,,
2375.0,,,,,,,,,,,
2384.0,,,,,,,,,,,
2391.0,,,,,,,,,,,
2395.0,,,,,,,,,,,
2397.0,,,,,,,,,,,
2403.0,,,,,,,,,,,
2407.0,,,,,,,,,,,
2409.0,,,,,,,,,,,
2419.0,,,,,,,,,,,
2439.0,,,,,,,,,,,
2440.0,,,,,,,,,,,
2443.0,,,,,,,,,,,
2444.0,,,,,,,,,,,
2445.0,,,,,,,,,,,
2450.0,,,,,,,,,,,
2451.0,,,,,,,,,,,
2478.0,,,,,,,,,,,
2481.0,,,,,,,,,,,
2482.0,,,,,,,,,,,
2501.0,,,,,,,,,,,
2504.0,,,,,,,,,,,
2510.0,,,,,,,,,,,
2511.0,,,,,,,,,,,
2523.0,2.0,2.0,,,4.0,,0.0,,,5.0,2.0
2525.0,,,,,,,,,,,
2535.0,1.0,,,,3.0,,0.0,,,4.0,6.0
2536.0,1.0,,,,8.0,,0.0,,,9.0,9.0
2555.0,,,,,,,,,,,
2557.0,,,,,,,,,,,
2559.0,,,,,,,,,,,
2564.0,,,,,,,,,,,
